date,gw_level
2000-01-02,81.49
2000-01-09,81.49
2000-01-16,81.48
2000-01-23,81.46
2000-01-30,
2000-02-06,81.47
2000-02-13,81.5
2000-02-20,81.47
2000-02-27,81.46
2000-03-05,81.46
2000-03-12,81.45
2000-03-19,81.44
2000-03-26,81.46
2000-04-02,81.45
2000-04-09,81.44
2000-04-16,81.45
2000-04-23,81.43
2000-04-30,
2000-05-07,81.43
2000-05-14,81.43
2000-05-21,81.42
2000-05-28,81.41
2000-06-04,81.42
2000-06-11,81.42
2000-06-18,81.41
2000-06-25,81.41
2000-07-02,81.41
2000-07-09,81.4
2000-07-16,81.4
2000-07-23,81.39
2000-07-30,
2000-08-06,81.39
2000-08-13,81.39
2000-08-20,81.38
2000-08-27,81.38
2000-09-03,81.38
2000-09-10,81.38
2000-09-17,81.38
2000-09-24,81.37
2000-10-01,81.37
2000-10-08,81.37
2000-10-15,81.38
2000-10-22,81.54
2000-10-29,
2000-11-05,81.54
2000-11-12,81.53
2000-11-19,81.53
2000-11-26,81.52
2000-12-03,81.53
2000-12-10,81.51
2000-12-17,81.52
2000-12-24,81.52
2000-12-31,
2001-01-07,81.52
2001-01-14,81.5
2001-01-21,81.5
2001-01-28,81.5
2001-02-04,81.52
2001-02-11,81.51
2001-02-18,81.49
2001-02-25,81.49
2001-03-04,81.48
2001-03-11,81.48
2001-03-18,81.48
2001-03-25,81.5
2001-04-01,81.47
2001-04-08,81.46
2001-04-15,81.47
2001-04-22,81.48
2001-04-29,
2001-05-06,81.48
2001-05-13,81.47
2001-05-20,81.47
2001-05-27,81.46
2001-06-03,81.46
2001-06-10,81.46
2001-06-17,81.46
2001-06-24,81.45
2001-07-01,81.44
2001-07-08,81.45
2001-07-15,81.46
2001-07-22,81.45
2001-07-29,
2001-08-05,81.46
2001-08-12,81.44
2001-08-19,81.44
2001-08-26,81.43
2001-09-02,81.42
2001-09-09,81.46
2001-09-16,81.42
2001-09-23,81.43
2001-09-30,
2001-10-07,81.42
2001-10-14,81.43
2001-10-21,81.43
2001-10-28,81.42
2001-11-04,81.4
2001-11-11,81.42
2001-11-18,81.42
2001-11-25,81.45
2001-12-02,81.4
2001-12-09,81.39
2001-12-16,81.41
2001-12-23,81.41
2001-12-30,
2002-01-06,81.41
2002-01-13,81.41
2002-01-20,81.41
2002-01-27,81.41
2002-02-03,81.39
2002-02-10,81.41
2002-02-17,81.41
2002-02-24,81.43
2002-03-03,81.39
2002-03-10,81.38
2002-03-17,81.39
2002-03-24,81.4
2002-03-31,
2002-04-07,81.4
2002-04-14,81.4
2002-04-21,81.39
2002-04-28,81.38
2002-05-05,81.4
2002-05-12,81.42
2002-05-19,81.41
2002-05-26,81.42
2002-06-02,81.42
2002-06-09,81.4
2002-06-16,81.41
2002-06-23,81.41
2002-06-30,
2002-07-07,81.42
2002-07-14,81.42
2002-07-21,81.4
2002-07-28,81.41
2002-08-04,81.41
2002-08-11,81.42
2002-08-18,81.42
2002-08-25,81.42
2002-09-01,81.43
2002-09-08,81.43
2002-09-15,81.42
2002-09-22,81.44
2002-09-29,
2002-10-06,81.44
2002-10-13,81.44
2002-10-20,81.46
2002-10-27,81.45
2002-11-03,81.44
2002-11-10,81.45
2002-11-17,81.46
2002-11-24,81.47
2002-12-01,81.47
2002-12-08,81.47
2002-12-15,81.48
2002-12-22,81.49
2002-12-29,
2003-01-05,81.48
2003-01-12,81.48
2003-01-19,81.51
2003-01-26,81.53
2003-02-02,81.52
2003-02-09,81.55
2003-02-16,81.57
2003-02-23,81.58
2003-03-02,81.61
2003-03-09,81.62
2003-03-16,81.6
2003-03-23,81.63
2003-03-30,
2003-04-06,81.63
2003-04-13,81.65
2003-04-20,81.66
2003-04-27,81.68
2003-05-04,81.64
2003-05-11,81.69
2003-05-18,81.69
2003-05-25,81.69
2003-06-01,81.7
2003-06-08,81.7
2003-06-15,81.71
2003-06-22,81.72
2003-06-29,
2003-07-06,81.73
2003-07-13,81.73
2003-07-20,81.74
2003-07-27,81.74
2003-08-03,81.73
2003-08-10,81.73
2003-08-17,81.72
2003-08-24,81.74
2003-08-31,
2003-09-07,81.74
2003-09-14,81.77
2003-09-21,81.74
2003-09-28,81.79
2003-10-05,81.77
2003-10-12,81.75
2003-10-19,81.76
2003-10-26,81.76
2003-11-02,81.78
2003-11-09,81.77
2003-11-16,81.79
2003-11-23,81.78
2003-11-30,
2003-12-07,81.78
2003-12-14,81.75
2003-12-21,81.77
2003-12-28,81.77
2004-01-04,81.76
2004-01-11,81.77
2004-01-18,81.77
2004-01-25,81.76
2004-02-01,81.78
2004-02-08,81.81
2004-02-15,81.78
2004-02-22,81.81
2004-02-29,
2004-03-07,81.76
2004-03-14,81.78
2004-03-21,81.77
2004-03-28,81.78
2004-04-04,81.78
2004-04-11,81.77
2004-04-18,81.76
2004-04-25,81.76
2004-05-02,81.77
2004-05-09,81.74
2004-05-16,81.74
2004-05-23,81.74
2004-05-30,
2004-06-06,81.74
2004-06-13,81.74
2004-06-20,81.76
2004-06-27,81.73
2004-07-04,81.8
2004-07-11,81.78
2004-07-18,81.77
2004-07-25,81.77
2004-08-01,81.76
2004-08-08,81.76
2004-08-15,81.75
2004-08-22,81.74
2004-08-29,
2004-09-05,81.75
2004-09-12,81.75
2004-09-19,81.75
2004-09-26,81.75
2004-10-03,81.74
2004-10-10,81.73
2004-10-17,81.74
2004-10-24,81.73
2004-10-31,
2004-11-07,81.7
2004-11-14,81.7
2004-11-21,81.69
2004-11-28,81.69
2004-12-05,81.69
2004-12-12,81.69
2004-12-19,81.69
2004-12-26,81.7
2005-01-02,81.68
2005-01-09,81.71
2005-01-16,81.68
2005-01-23,81.66
2005-01-30,
2005-02-06,81.65
2005-02-13,81.66
2005-02-20,81.66
2005-02-27,81.66
2005-03-06,81.65
2005-03-13,81.64
2005-03-20,81.64
2005-03-27,81.64
2005-04-03,81.64
2005-04-10,81.63
2005-04-17,81.64
2005-04-24,81.63
2005-05-01,81.63
2005-05-08,81.61
2005-05-15,81.62
2005-05-22,81.62
2005-05-29,
2005-06-05,81.63
2005-06-12,81.62
2005-06-19,81.61
2005-06-26,81.6
2005-07-03,81.6
2005-07-10,81.59
2005-07-17,81.6
2005-07-24,81.6
2005-07-31,
2005-08-07,81.59
2005-08-14,81.59
2005-08-21,81.59
2005-08-28,81.6
2005-09-04,81.58
2005-09-11,81.59
2005-09-18,81.57
2005-09-25,81.41
2005-10-02,81.4
2005-10-09,81.41
2005-10-16,81.39
2005-10-23,81.42
2005-10-30,
2005-11-06,81.4
2005-11-13,81.39
2005-11-20,81.38
2005-11-27,81.38
