invid,invhyas,invname,eigentuemer,messnetz_klartext,zcoordb,invmbeg,invzbeg,invzend,xcoord,ycoord,link,lon,lat
BL101A0057FIL001,9235,9235,Berliner Wasserbetriebe,-,38.6,39.46,13.51,14.51,409227.03,5812357.89,mailto:grundwasserstand-info@bwb.de,409227.03,5812357.89
BL101A0073FIL001,9178,9178,Berliner Wasserbetriebe,-,36.9,37.47,19.0,20.0,407991.17,5811989.43,mailto:grundwasserstand-info@bwb.de,407991.17,5811989.43
BL101A0081FIL001,6789,6789,Berliner Wasserbetriebe,-,38.6,39.24,0.0,0.01,409710.27,5812847.65,mailto:grundwasserstand-info@bwb.de,409710.27,5812847.65
BL101A0081FIL002,6790,6790,Berliner Wasserbetriebe,-,38.6,39.12,0.0,0.01,409710.27,5812847.65,mailto:grundwasserstand-info@bwb.de,409710.27,5812847.65
BL101A0081FIL003,6791,6791,Berliner Wasserbetriebe,-,38.6,39.01,0.0,0.01,409710.27,5812847.65,mailto:grundwasserstand-info@bwb.de,409710.27,5812847.65
BL101A0081FIL004,6792,6792,Berliner Wasserbetriebe,-,38.6,38.92,0.0,0.01,409710.27,5812847.65,mailto:grundwasserstand-info@bwb.de,409710.27,5812847.65
BL101A0083FIL001,9188,9188,Berliner Wasserbetriebe,-,37.4,37.96,7.2,9.2,407830.5,5812531.42,mailto:grundwasserstand-info@bwb.de,407830.5,5812531.42
BL101A0087FIL001,9240,9240,Berliner Wasserbetriebe,-,38.66,39.16,10.49,11.49,408950.87,5812979.07,mailto:grundwasserstand-info@bwb.de,408950.87,5812979.07
BL101A0144FIL001,5632,5632,Berliner Wasserbetriebe,-,36.5,37.37,6.0,8.0,408429.86,5811818.11,mailto:grundwasserstand-info@bwb.de,408429.86,5811818.11
BL101A0144FIL002,5633,5633,Berliner Wasserbetriebe,-,36.5,37.37,31.2,33.2,408429.86,5811818.11,mailto:grundwasserstand-info@bwb.de,408429.86,5811818.11
BL101A0145FIL001,5634,5634,Berliner Wasserbetriebe,-,37.5,38.19,13.0,15.0,408736.75,5811761.29,mailto:grundwasserstand-info@bwb.de,408736.75,5811761.29
BL101A0146FIL001,5631,5631,Berliner Wasserbetriebe,-,35.4,36.46,27.0,29.0,408035.15,5811725.63,mailto:grundwasserstand-info@bwb.de,408035.15,5811725.63
BL101A0148FIL001,5900,5900,Berliner Wasserbetriebe,-,37.7,38.75,8.86,12.86,408218.89,5813080.97,mailto:grundwasserstand-info@bwb.de,408218.89,5813080.97
BL101A0148FIL002,5901,5901,Berliner Wasserbetriebe,-,37.7,38.59,26.89,30.89,408218.89,5813080.97,mailto:grundwasserstand-info@bwb.de,408218.89,5813080.97
BL101A0148FIL003,5902,5902,Berliner Wasserbetriebe,-,37.7,38.55,40.55,44.55,408218.89,5813080.97,mailto:grundwasserstand-info@bwb.de,408218.89,5813080.97
BL101A0148FIL004,5903,5903,Berliner Wasserbetriebe,-,37.7,38.42,69.62,73.62,408218.89,5813080.97,mailto:grundwasserstand-info@bwb.de,408218.89,5813080.97
BL101A0148FIL005,5904,5904,Berliner Wasserbetriebe,-,37.7,38.18,83.78,87.78,408218.89,5813080.97,mailto:grundwasserstand-info@bwb.de,408218.89,5813080.97
BL101A0149FIL001,5845,5845,Berliner Wasserbetriebe,-,38.6,39.51,4.0,6.0,408962.77,5812973.84,mailto:grundwasserstand-info@bwb.de,408962.77,5812973.84
BL101A0149FIL002,5846,5846,Berliner Wasserbetriebe,-,38.6,39.57,19.0,21.0,408962.77,5812973.84,mailto:grundwasserstand-info@bwb.de,408962.77,5812973.84
BL101A0149FIL003,5847,5847,Berliner Wasserbetriebe,-,38.6,39.46,31.0,33.0,408962.77,5812973.84,mailto:grundwasserstand-info@bwb.de,408962.77,5812973.84
BL101A0149FIL004,5848,5848,Berliner Wasserbetriebe,-,38.6,39.49,43.0,45.0,408962.77,5812973.84,mailto:grundwasserstand-info@bwb.de,408962.77,5812973.84
