"Zeitpunkt";"Wasserstand(NHN) [mNHN]";"Hinweise"
"09.01.1997 00:00:00";"41,99";"Geprüft"
"11.02.1997 00:00:00";"41,98";"Geprüft"
"20.03.1997 00:00:00";"41,98";"Geprüft"
"09.04.1997 00:00:00";"41,92";"Geprüft"
"07.05.1997 00:00:00";"41,99";"Geprüft"
"09.06.1997 00:00:00";"41,9";"Geprüft"
"01.07.1997 00:00:00";"41,93";"Geprüft"
"27.08.1997 00:00:00";"41,93";"Geprüft"
"18.09.1997 00:00:00";"41,9";"Geprüft"
"24.10.1997 00:00:00";"41,86";"Geprüft"
"26.11.1997 00:00:00";"41,88";"Geprüft"
"26.01.1998 00:00:00";"41,8";"Geprüft"
"15.02.1998 00:00:00";"41,85";"Geprüft, Schätzwert"
"02.03.1998 00:00:00";"41,89";"Geprüft"
"06.04.1998 00:00:00";"41,93";"Geprüft"
"04.05.1998 00:00:00";"42";"Geprüft"
"02.06.1998 00:00:00";"42,07";"Geprüft"
"06.07.1998 00:00:00";"42,13";"Geprüft"
"03.08.1998 00:00:00";"42,11";"Geprüft"
"01.09.1998 00:00:00";"42,13";"Geprüft"
"01.10.1998 00:00:00";"42,12";"Geprüft"
"02.11.1998 00:00:00";"42,15";"Geprüft"
"01.12.1998 00:00:00";"42,06";"Geprüft"
"01.02.1999 00:00:00";"42,11";"Geprüft"
"02.03.1999 00:00:00";"42,25";"Geprüft"
"01.04.1999 00:00:00";"42,31";"Geprüft"
"05.05.1999 00:00:00";"42,5";"Geprüft"
"01.06.1999 00:00:00";"42,68";"Geprüft"
"09.07.1999 00:00:00";"42,83";"Geprüft"
"03.08.1999 00:00:00";"42,87";"Geprüft"
"01.09.1999 00:00:00";"42,86";"Geprüft"
"01.11.1999 00:00:00";"42,76";"Geprüft"
"13.12.1999 00:00:00";"42,71";"Geprüft"
"03.01.2000 00:00:00";"42,58";"Geprüft"
"01.02.2000 00:00:00";"42,56";"Geprüft"
