Zeitpunkt des Exports,Messstellenname,ID,Messstellenart,Hoehensystem,Gelaendehoehe (in Meter HS),Filteroberkante (in Meter HS),Filterunterkante (in Meter HS),NW - Niedrigster gemessener Wasserstand [cm u. GOK],MW - Mittlerer Wasserstand [cm u. GOK],HW - Hoechster gemessener Wasserstand [cm u. GOK],NW - Niedrigster gemessener Wasserstand [m ue. NHN],MW - Mittlerer Wasserstand [m ue. NHN],HW - Hoechster gemessener Wasserstand [m ue. NHN],Bezugszeitraum Hauptwerte,MW Januar [cm uGOK],MW Februar [cm uGOK],MW Maerz [cm uGOK],MW April [cm uGOK],MW Mai [cm uGOK],MW Juni [cm uGOK],MW Juli [cm uGOK],MW August [cm uGOK],MW September [cm uGOK],MW Oktober [cm uGOK],MW November [cm uGOK],MW Dezember [cm uGOK],Grundwasserleiterkomplex,loc_id,loc_name,east_3857,north_3857,east_25833,north_25833,x,y,geometry
02.02.2026,"32471945, Danewitz OP",32471945,Beobachtungsrohr,NHN92,"62,2","48,48","46,48",438,305,134,"57,82","59,15","60,86",1972 / 2025,,,,,,,,,,,,,,9596,"32471945, Danewitz OP",1520850.31941355,6934060.91721662,409661.0,5843590.0,409661.0,5843590.0,POINT (4568250.859226828 3297972.162981395)
02.02.2026,"40536003, GroÃ Drewitz",40536003,Beobachtungsrohr,NHN92,"69,7","57,45","55,45",510,370,237,"64,6",66,"67,33",2001 / 2025,,,,,,,,,,,,,,10434,"40536003, Groß Drewitz",1621851.17410954,6799094.51943321,470431.06,5760491.58,470431.06,5760491.58,POINT (4634615.260325393 3219199.8410501066)
02.02.2026,"29463220, Hammelspring",29463220,Beobachtungsrohr,NHN16,"56,5","40,4","38,4",338,234,88,"53,12","54,16","55,62",2007 / 2025,,,,,,,,,,,,,,15132,"29463220, Hammelspring",1495332.18596528,6997001.71368945,395012.0,5881833.0,395012.0,5881833.0,POINT (4550981.103854595 3335128.451204416)
02.02.2026,"33520966, Kienitz",33520966,Beobachtungsrohr,NHN16,"8,1",,,150,86,-12,"6,6","7,24","8,22",1955 / 2025,,,,,,,,,,,,,,9155,"33520966, Kienitz",1605996.64320079,6921667.31766052,461245.0,5835400.0,461245.0,5835400.0,POINT (4620286.010974934 3293349.5941171544)
02.02.2026,"42520102, Roggosen",42520102,Beobachtungsrohr,NHN92,"78,46","60,46","58,46",251,196,136,"75,95","76,5","77,1",2015 / 2025,,,,,,,,,,,,,,15486,"42520102, Roggosen",1610489.79262645,6747309.93264468,463190.0,5728579.0,463190.0,5728579.0,POINT (4629579.429786022 3186844.0841267514)
02.02.2026,"28410213, GroÃ-HaÃlow, Kreuzung",28410213,Beobachtungsrohr,NHN92,"76,2",,,459,375,234,"71,61","72,45","73,86",1974 / 2025,,,,,,,,,,,,,,14806,"28410213, Groß-Haßlow, Kreuzung",1399538.3020815,7014987.4207888,337738.0,5894223.0,337738.0,5894223.0,POINT (4492976.506929033 3343527.864231458)
02.02.2026,"32454665, Fichtengrund, Jagenstein",32454665,Beobachtungsrohr,NHN92,"37,8","14,8","12,8",425,386,313,"33,55","33,94","34,67",1971 / 2025,,,,,,,,,,,,,,14696,"32454665, Fichtengrund, Jagenstein",1477221.69245256,6942626.161097,383325.0,5849333.0,383325.0,5849333.0,POINT (4541576.555236912 3301887.6155650946)
02.02.2026,"30464252, Krewelin, Ortsausgang",30464252,Beobachtungsrohr,NHN92,"42,12",,,113,73,-4,"40,99","41,39","42,16",1972 / 2025,,,,,,,,,,,,,,15209,"30464252, Krewelin, Ortsausgang",1489981.72723251,6972454.96329072,391460.0,5867147.0,391460.0,5867147.0,POINT (4548457.4262306 3320226.892775705)
02.02.2026,"26381003, JÃ¤nnersdorf, am Friedhof",26381003,Beobachtungsrohr,NHN92,"63,2","55,2","53,2",257,212,138,"60,63","61,08","61,82",2002 / 2025,,,,,,,,,,,,,,15312,"26381003, Jännersdorf, am Friedhof",1342570.51794021,7045448.60968663,304291.0,5913711.0,304291.0,5913711.0,POINT (4458251.455217662 3360647.373099355)
02.02.2026,"36532674, Frankfurt, BergstraÃe, Kirche",36532674,Beobachtungsrohr,NHN92,"22,7",,,178,96,3,"20,92","21,74","22,67",1969 / 2025,,,,,,,,,,,,,,8841,"36532674, Frankfurt, Bergstraße, Kirche",1619276.40207192,6864046.88967339,469092.0,5800301.0,469092.0,5800301.0,POINT (4630539.457485683 3258850.4999631466)
