date,gw_level
2000-01-02,34.665
2000-01-09,
2000-01-16,
2000-01-23,34.63333333333333
2000-01-30,
2000-02-06,34.64
2000-02-13,34.66
2000-02-20,34.66571428571429
2000-02-27,34.662499999999994
2000-03-05,34.67
2000-03-12,34.68
2000-03-19,34.70333333333333
2000-03-26,34.727999999999994
2000-04-02,34.748000000000005
2000-04-09,34.754999999999995
2000-04-16,34.772000000000006
2000-04-23,34.79333333333333
2000-04-30,34.795
2000-05-07,34.785
2000-05-14,34.775000000000006
2000-05-21,34.78
2000-05-28,34.795
2000-06-04,34.785
2000-06-11,34.77
2000-06-18,34.754285714285714
2000-06-25,34.738
2000-07-02,34.733999999999995
2000-07-09,34.715
2000-07-16,34.7
2000-07-23,34.684285714285714
2000-07-30,34.692499999999995
2000-08-06,34.68
2000-08-13,34.66
2000-08-20,34.67
2000-08-27,34.7025
2000-09-03,34.696000000000005
2000-09-10,34.715999999999994
2000-09-17,34.698571428571434
2000-09-24,34.68666666666667
2000-10-01,34.663333333333334
2000-10-08,34.65
2000-10-15,34.65
2000-10-22,34.635000000000005
2000-10-29,34.6225
2000-11-05,34.625
2000-11-12,34.614999999999995
2000-11-19,
2000-11-26,34.61
2000-12-03,
2000-12-10,
2000-12-17,
2000-12-24,
2000-12-31,34.58
2001-01-07,
2001-01-14,34.575
2001-01-21,
2001-01-28,
2001-02-04,34.56333333333333
2001-02-11,34.56428571428572
2001-02-18,34.56333333333333
2001-02-25,34.565
2001-03-04,34.57
2001-03-11,34.5625
2001-03-18,34.5625
2001-03-25,34.56666666666667
2001-04-01,34.576
2001-04-08,34.585
2001-04-15,34.595
2001-04-22,34.59666666666667
2001-04-29,
2001-05-06,
2001-05-13,
2001-05-20,
2001-05-27,34.593333333333334
2001-06-03,34.586666666666666
2001-06-10,34.595
2001-06-17,
2001-06-24,34.583333333333336
2001-07-01,34.56666666666667
2001-07-08,34.566
2001-07-15,34.582
2001-07-22,34.580000000000005
2001-07-29,34.55714285714286
2001-08-05,34.568
2001-08-12,34.56
2001-08-19,34.545
2001-08-26,34.53333333333333
2001-09-02,34.536
2001-09-09,34.53
2001-09-16,34.556
2001-09-23,34.575
2001-09-30,34.59
2001-10-07,34.6075
2001-10-14,
2001-10-21,34.614999999999995
2001-10-28,34.614999999999995
2001-11-04,34.614999999999995
2001-11-11,34.61333333333334
2001-11-18,34.605000000000004
2001-11-25,34.605000000000004
2001-12-02,34.605000000000004
2001-12-09,34.606
2001-12-16,
2001-12-23,
2001-12-30,34.61333333333334
2002-01-06,34.6375
2002-01-13,34.65714285714286
2002-01-20,34.68142857142857
2002-01-27,34.7
2002-02-03,34.71333333333333
2002-02-10,34.724999999999994
2002-02-17,
2002-02-24,34.733999999999995
2002-03-03,34.75
2002-03-10,34.77166666666667
2002-03-17,34.79285714285714
2002-03-24,34.808
2002-03-31,34.825
2002-04-07,34.835
2002-04-14,34.845
2002-04-21,34.852
2002-04-28,34.86333333333334
2002-05-05,
2002-05-12,34.875
2002-05-19,34.8825
2002-05-26,34.892
2002-06-02,34.91
2002-06-09,
2002-06-16,34.915
2002-06-23,34.915
2002-06-30,
2002-07-07,
2002-07-14,34.89857142857143
2002-07-21,34.902499999999996
2002-07-28,34.90333333333333
2002-08-04,34.886
2002-08-11,34.906
2002-08-18,34.94
2002-08-25,34.946000000000005
2002-09-01,34.946666666666665
2002-09-08,34.935
2002-09-15,34.925
2002-09-22,34.913333333333334
2002-09-29,34.926
2002-10-06,34.92
2002-10-13,34.925
2002-10-20,34.925
2002-10-27,34.92333333333334
2002-11-03,34.93
2002-11-10,34.94285714285714
2002-11-17,34.956
2002-11-24,34.955
2002-12-01,34.96
2002-12-08,34.964
2002-12-15,34.965
2002-12-22,34.965
2002-12-29,34.96666666666667
2003-01-05,34.97
2003-01-12,34.97666666666667
2003-01-19,34.985
2003-01-26,34.9825
2003-02-02,34.994285714285716
2003-02-09,
2003-02-16,34.995000000000005
2003-02-23,34.994
2003-03-02,34.996
2003-03-09,34.995000000000005
2003-03-16,34.9825
2003-03-23,34.983999999999995
2003-03-30,34.988
2003-04-06,34.98571428571429
2003-04-13,34.983999999999995
2003-04-20,34.97666666666667
2003-04-27,34.974999999999994
2003-05-04,34.974999999999994
2003-05-11,34.968
2003-05-18,34.97
2003-05-25,34.97714285714285
2003-06-01,34.965714285714284
2003-06-08,34.95166666666667
2003-06-15,34.96666666666667
2003-06-22,34.96
2003-06-29,34.971666666666664
2003-07-06,34.948
2003-07-13,34.9375
2003-07-20,34.90857142857143
2003-07-27,34.87714285714286
2003-08-03,34.855714285714285
2003-08-10,34.82333333333333
2003-08-17,34.8
2003-08-24,34.795
2003-08-31,34.787142857142854
2003-09-07,34.79333333333333
2003-09-14,34.786
2003-09-21,34.77666666666667
2003-09-28,34.765
2003-10-05,
2003-10-12,34.754999999999995
2003-10-19,34.74333333333333
2003-10-26,34.742000000000004
2003-11-02,34.733999999999995
2003-11-09,34.72
2003-11-16,34.715
2003-11-23,34.715999999999994
2003-11-30,34.705
2003-12-07,34.695
2003-12-14,34.69571428571429
2003-12-21,34.706
2003-12-28,34.696000000000005
2004-01-04,34.684285714285714
2004-01-11,34.68142857142857
2004-01-18,34.68714285714286
2004-01-25,34.68142857142857
2004-02-01,34.69
2004-02-08,34.7
2004-02-15,34.705714285714286
2004-02-22,34.71142857142858
2004-02-29,34.72428571428571
2004-03-07,34.72
2004-03-14,34.72
2004-03-21,34.715714285714284
2004-03-28,34.722857142857144
2004-04-04,34.71142857142858
2004-04-11,34.712857142857146
2004-04-18,34.70142857142857
2004-04-25,34.69428571428572
2004-05-02,34.68714285714286
2004-05-09,34.68714285714286
2004-05-16,34.69142857142857
2004-05-23,34.682857142857145
2004-05-30,34.67714285714286
2004-06-06,34.67
2004-06-13,34.675714285714285
2004-06-20,34.67142857142857
2004-06-27,34.67285714285715
2004-07-04,34.66857142857143
2004-07-11,34.667142857142856
2004-07-18,34.66142857142857
2004-07-25,34.68714285714286
2004-08-01,34.691428571428574
2004-08-08,34.667142857142856
2004-08-15,34.652857142857144
2004-08-22,34.65
2004-08-29,34.65571428571428
2004-09-05,34.66285714285714
2004-09-12,34.64142857142857
2004-09-19,34.63285714285714
2004-09-26,34.63142857142857
2004-10-03,34.62714285714286
2004-10-10,34.61857142857143
2004-10-17,34.61
2004-10-24,34.60857142857143
2004-10-31,34.6
2004-11-07,34.59285714285715
2004-11-14,34.59
2004-11-21,34.598571428571425
2004-11-28,34.60285714285714
2004-12-05,34.59571428571429
2004-12-12,34.58142857142857
2004-12-19,34.58142857142857
2004-12-26,34.58142857142857
2005-01-02,34.57714285714285
2005-01-09,34.58
2005-01-16,34.57142857142857
2005-01-23,34.58857142857143
2005-01-30,34.6
2005-02-06,34.61
2005-02-13,34.621428571428574
2005-02-20,34.64
2005-02-27,34.64857142857143
2005-03-06,34.66
2005-03-13,34.66428571428571
2005-03-20,34.67
2005-03-27,34.67714285714286
2005-04-03,34.68
2005-04-10,34.68
2005-04-17,34.684285714285714
2005-04-24,34.67714285714286
2005-05-01,34.67
2005-05-08,34.66857142857143
2005-05-15,34.675714285714285
2005-05-22,34.69
2005-05-29,34.67857142857143
2005-06-05,34.67142857142857
2005-06-12,34.68571428571428
2005-06-19,34.67714285714286
2005-06-26,34.660000000000004
2005-07-03,34.63857142857143
2005-07-10,34.65857142857143
2005-07-17,34.652857142857144
2005-07-24,34.64714285714286
2005-07-31,34.68714285714286
2005-08-07,34.70428571428572
2005-08-14,34.71142857142858
2005-08-21,34.705714285714286
2005-08-28,34.698571428571434
2005-09-04,34.68
2005-09-11,34.66142857142857
2005-09-18,34.66428571428571
2005-09-25,34.66571428571429
2005-10-02,34.65571428571428
2005-10-09,34.65
2005-10-16,34.635714285714286
2005-10-23,34.62428571428571
2005-10-30,34.637142857142855
2005-11-06,34.62571428571429
2005-11-13,34.614285714285714
2005-11-20,34.60857142857143
2005-11-27,34.60142857142857
2005-12-04,34.59428571428572
2005-12-11,34.58142857142857
2005-12-18,34.57714285714285
2005-12-25,34.57285714285714
2006-01-01,34.57
2006-01-08,34.565714285714286
2006-01-15,34.56
2006-01-22,34.56
2006-01-29,34.56285714285714
2006-02-05,34.55714285714286
2006-02-12,34.598571428571425
2006-02-19,34.65
2006-02-26,34.674285714285716
2006-03-05,34.68
2006-03-12,34.684285714285714
2006-03-19,34.674285714285716
2006-03-26,34.667142857142856
2006-04-02,34.67
2006-04-09,34.67
2006-04-16,34.67285714285715
2006-04-23,34.68714285714286
2006-04-30,34.69
2006-05-07,34.69
2006-05-14,34.67857142857143
2006-05-21,34.674285714285716
2006-05-28,34.68
2006-06-04,34.69428571428572
2006-06-11,34.69714285714286
2006-06-18,34.674285714285716
2006-06-25,34.667142857142856
2006-07-02,34.64
2006-07-09,34.61857142857143
2006-07-16,34.652857142857144
2006-07-23,34.61714285714286
2006-07-30,34.58142857142857
2006-08-06,34.58428571428571
2006-08-13,34.604285714285716
2006-08-20,34.597142857142856
2006-08-27,34.59428571428572
2006-09-03,34.58857142857143
