Zeitpunkt des Exports,Messstellenname,ID,Messstellenart,Hoehensystem,Gelaendehoehe (in Meter HS),Filteroberkante (in Meter HS),Filterunterkante (in Meter HS),NW - Niedrigster gemessener Wasserstand [cm u. GOK],MW - Mittlerer Wasserstand [cm u. GOK],HW - Hoechster gemessener Wasserstand [cm u. GOK],NW - Niedrigster gemessener Wasserstand [m ue. NHN],MW - Mittlerer Wasserstand [m ue. NHN],HW - Hoechster gemessener Wasserstand [m ue. NHN],Bezugszeitraum Hauptwerte,MW Januar [cm uGOK],MW Februar [cm uGOK],MW Maerz [cm uGOK],MW April [cm uGOK],MW Mai [cm uGOK],MW Juni [cm uGOK],MW Juli [cm uGOK],MW August [cm uGOK],MW September [cm uGOK],MW Oktober [cm uGOK],MW November [cm uGOK],MW Dezember [cm uGOK],Grundwasserleiterkomplex,loc_id,loc_name,east_3857,north_3857,east_25833,north_25833,x,y,geometry,index_right,WERT,SHAPE_AREA,SHAPE_LEN,z_terrain,h_measured,unsat_thickness_shp,dist_measured_cm,dist_measured_m,h_calculated,h_diff,is_topmost
02.02.2026,"32471945, Danewitz OP",32471945,Beobachtungsrohr,NHN92,62.2,48.48,46.48,438.0,305.0,134.0,57.82,59.15,60.86,1972 / 2025,,,,,,,,,,,,,,9596,"32471945, Danewitz OP",1520850.31941355,6934060.91721662,409661.0,5843590.0,409661.0,5843590.0,POINT (409661 5843590),27320.0,3.0,283662.525003,5018.96818407,62.2,59.15,3.0,305.0,3.05,59.2,0.05000000000000426,True
02.02.2026,"40536003, GroÃ Drewitz",40536003,Beobachtungsrohr,NHN92,69.7,57.45,55.45,510.0,370.0,237.0,64.6,66.0,67.33,2001 / 2025,,,,,,,,,,,,,,10434,"40536003, Groß Drewitz",1621851.17410954,6799094.51943321,470431.06,5760491.58,470431.06,5760491.58,POINT (470431.06 5760491.58),13879.0,4.0,100478.311594,17703.5422295,69.7,66.0,4.0,370.0,3.7,65.7,0.29999999999999716,True
02.02.2026,"29463220, Hammelspring",29463220,Beobachtungsrohr,NHN16,56.5,40.4,38.4,338.0,234.0,88.0,53.12,54.16,55.62,2007 / 2025,,,,,,,,,,,,,,15132,"29463220, Hammelspring",1495332.18596528,6997001.71368945,395012.0,5881833.0,395012.0,5881833.0,POINT (395012 5881833),33968.0,3.0,111749.58966,1981.11573335,56.5,54.16,3.0,234.0,2.34,53.5,0.6599999999999966,True
02.02.2026,"33520966, Kienitz",33520966,Beobachtungsrohr,NHN16,8.1,,,150.0,86.0,-12.0,6.6,7.24,8.22,1955 / 2025,,,,,,,,,,,,,,9155,"33520966, Kienitz",1605996.64320079,6921667.31766052,461245.0,5835400.0,461245.0,5835400.0,POINT (461245 5835400),29914.0,2.0,63442101.2945,211628.326719,8.1,7.24,2.0,86.0,0.86,6.1,1.1400000000000006,True
02.02.2026,"42520102, Roggosen",42520102,Beobachtungsrohr,NHN92,78.46,60.46,58.46,251.0,196.0,136.0,75.95,76.5,77.1,2015 / 2025,,,,,,,,,,,,,,15486,"42520102, Roggosen",1610489.79262645,6747309.93264468,463190.0,5728579.0,463190.0,5728579.0,POINT (463190 5728579),6511.0,2.0,20749476.6865,184581.186632,78.46,76.5,2.0,196.0,1.96,76.46,0.04000000000000625,True
02.02.2026,"28410213, GroÃ-HaÃlow, Kreuzung",28410213,Beobachtungsrohr,NHN92,76.2,,,459.0,375.0,234.0,71.61,72.45,73.86,1974 / 2025,,,,,,,,,,,,,,14806,"28410213, Groß-Haßlow, Kreuzung",1399538.3020815,7014987.4207888,337738.0,5894223.0,337738.0,5894223.0,POINT (337738 5894223),22446.0,4.0,12515481.7767,148184.017782,76.2,72.45,4.0,375.0,3.75,72.2,0.25,True
02.02.2026,"32454665, Fichtengrund, Jagenstein",32454665,Beobachtungsrohr,NHN92,37.8,14.8,12.8,425.0,386.0,313.0,33.55,33.94,34.67,1971 / 2025,,,,,,,,,,,,,,14696,"32454665, Fichtengrund, Jagenstein",1477221.69245256,6942626.161097,383325.0,5849333.0,383325.0,5849333.0,POINT (383325 5849333),28353.0,4.0,14386903.1303,242346.254312,37.8,33.94,4.0,386.0,3.86,33.8,0.14000000000000057,True
02.02.2026,"30464252, Krewelin, Ortsausgang",30464252,Beobachtungsrohr,NHN92,42.12,,,113.0,73.0,-4.0,40.99,41.39,42.16,1972 / 2025,,,,,,,,,,,,,,15209,"30464252, Krewelin, Ortsausgang",1489981.72723251,6972454.96329072,391460.0,5867147.0,391460.0,5867147.0,POINT (391460 5867147),24882.0,1.0,137297.077189,1613.4418434,42.12,41.39,1.0,73.0,0.73,41.12,0.2700000000000031,True
02.02.2026,"26381003, JÃ¤nnersdorf, am Friedhof",26381003,Beobachtungsrohr,NHN92,63.2,55.2,53.2,257.0,212.0,138.0,60.63,61.08,61.82,2002 / 2025,,,,,,,,,,,,,,15312,"26381003, Jännersdorf, am Friedhof",1342570.51794021,7045448.60968663,304291.0,5913711.0,304291.0,5913711.0,POINT (304291 5913711),22537.0,3.0,38746510.2579,389258.293014,63.2,61.08,3.0,212.0,2.12,60.2,0.8799999999999955,True
02.02.2026,"36532674, Frankfurt, BergstraÃe, Kirche",36532674,Beobachtungsrohr,NHN92,22.7,,,178.0,96.0,3.0,20.92,21.74,22.67,1969 / 2025,,,,,,,,,,,,,,8841,"36532674, Frankfurt, Bergstraße, Kirche",1619276.40207192,6864046.88967339,469092.0,5800301.0,469092.0,5800301.0,POINT (469092 5800301),15084.0,1.0,64691.1500117,1652.42629979,22.7,21.74,1.0,96.0,0.96,21.7,0.03999999999999915,True
