"Zeitpunkt";"Wasserstand(NHN) [mNHN]";"Hinweise"
"01.06.1979 00:00:00";"40,26";"Geprüft"
"08.06.1979 00:00:00";"40,25";"Geprüft"
"15.06.1979 00:00:00";"40,24";"Geprüft"
"22.06.1979 00:00:00";"40,24";"Geprüft"
"01.07.1979 00:00:00";"40,24";"Geprüft"
"08.07.1979 00:00:00";"40,22";"Geprüft"
"15.07.1979 00:00:00";"40,19";"Geprüft"
"22.07.1979 00:00:00";"40,21";"Geprüft"
"01.08.1979 00:00:00";"40,21";"Geprüft"
"08.08.1979 00:00:00";"40,18";"Geprüft"
"15.08.1979 00:00:00";"40,18";"Geprüft"
"22.08.1979 00:00:00";"40,16";"Geprüft"
"01.09.1979 00:00:00";"40,14";"Geprüft"
"08.09.1979 00:00:00";"40,1";"Geprüft"
"15.09.1979 00:00:00";"40,11";"Geprüft"
"22.09.1979 00:00:00";"40,11";"Geprüft"
"01.10.1979 00:00:00";"40,14";"Geprüft"
"08.10.1979 00:00:00";"40,1";"Geprüft"
"15.10.1979 00:00:00";"40,11";"Geprüft"
"22.10.1979 00:00:00";"40,11";"Geprüft"
"01.11.1979 00:00:00";"40,02";"Geprüft"
"08.11.1979 00:00:00";"40,08";"Geprüft"
"15.11.1979 00:00:00";"40,04";"Geprüft"
"22.11.1979 00:00:00";"40,04";"Geprüft"
"01.12.1979 00:00:00";"40,01";"Geprüft"
"08.12.1979 00:00:00";"40,06";"Geprüft"
"15.12.1979 00:00:00";"40,14";"Geprüft"
"22.12.1979 00:00:00";"40,12";"Geprüft"
"01.01.1980 00:00:00";"40,12";"Geprüft"
"08.01.1980 00:00:00";"40,14";"Geprüft"
"15.01.1980 00:00:00";"40,09";"Geprüft"
"22.01.1980 00:00:00";"40,15";"Geprüft"
"01.02.1980 00:00:00";"40,13";"Geprüft"
"08.02.1980 00:00:00";"40,15";"Geprüft"
"15.02.1980 00:00:00";"40,15";"Geprüft"
"22.02.1980 00:00:00";"40,15";"Geprüft"
"01.03.1980 00:00:00";"40,19";"Geprüft"
"08.03.1980 00:00:00";"40,23";"Geprüft"
"15.03.1980 00:00:00";"40,21";"Geprüft"
"22.03.1980 00:00:00";"40,24";"Geprüft"
"01.04.1980 00:00:00";"40,22";"Geprüft"
"08.04.1980 00:00:00";"40,21";"Geprüft"
"15.04.1980 00:00:00";"40,24";"Geprüft"
"22.04.1980 00:00:00";"40,24";"Geprüft"
"01.05.1980 00:00:00";"40,26";"Geprüft"
"08.05.1980 00:00:00";"40,24";"Geprüft"
"15.05.1980 00:00:00";"40,22";"Geprüft"
"22.05.1980 00:00:00";"40,19";"Geprüft"
"01.06.1980 00:00:00";"40,19";"Geprüft"
"08.06.1980 00:00:00";"40,18";"Geprüft"
"15.06.1980 00:00:00";"40,18";"Geprüft"
"22.06.1980 00:00:00";"40,19";"Geprüft"
"01.07.1980 00:00:00";"40,22";"Geprüft"
"08.07.1980 00:00:00";"40,22";"Geprüft"
"15.07.1980 00:00:00";"40,25";"Geprüft"
"22.07.1980 00:00:00";"40,24";"Geprüft"
"01.08.1980 00:00:00";"40,21";"Geprüft"
"08.08.1980 00:00:00";"40,21";"Geprüft"
